Topic ID,CLD Score,,,,,,,
750,0.018,,,,,,,
1463,0.018,,,,,,,
766,0.018,,,,,,,
1510,0.018,,,,,,,
1751,0.018,,,,,,,
967,0.018,,,,,,,
169,0.018,,,,,,,
1906,0.018,,,,,,,
1252,0.018,,,,,,,
366,0.018,,,,,,,
1508,0.018,,,,,,,
432,0.018,,,,,,,
354,0.018,,,,,,,
1224,0.018,,,,,,,
1131,0.018,,,,,,,
1449,0.018,,,,,,,
1341,0.018,,,,,,,
74,0.018,,,,,,,
945,0.018,,,,,,,
1801,0.018,,,,,,,
627,0.018,,,,,,,
867,0.017,,,,,,,
1832,0.017,,,,,,,
1728,0.017,,,,,,,
1588,0.017,,,,,,,
1160,0.017,,,,,,,
662,0.017,,,,,,,
1623,0.017,,,,,,,
1587,0.017,,,,,,,
1757,0.017,,,,,,,
276,0.017,,,,,,,
582,0.017,,,,,,,
904,0.017,,,,,,,
784,0.017,,,,,,,
396,0.017,,,,,,,
1910,0.017,,,,,,,
1985,0.017,,,,,,,
507,0.017,,,,,,,
1441,0.017,,,,,,,
1892,0.017,,,,,,,
735,0.017,,,,,,,
1387,0.016,,,,,,,
938,0.016,,,,,,,
171,0.016,,,,,,,
811,0.016,,,,,,,
1897,0.016,,,,,,,
573,0.016,,,,,,,
1005,0.016,,,,,,,
1635,0.016,,,,,,,
1900,0.016,,,,,,,
1667,0.016,,,,,,,
804,0.016,,,,,,,
1798,0.016,,,,,,,
453,0.016,,,,,,,
98,0.016,,,,,,,
426,0.016,,,,,,,
1274,0.016,,,,,,,
1133,0.016,,,,,,,
75,0.016,,,,,,,
1943,0.016,,,,,,,
107,0.016,,,,,,,
762,0.016,,,,,,,
1887,0.016,,,,,,,
84,0.016,,,,,,,
1261,0.015,,,,,,,
242,0.015,,,,,,,
1593,0.015,,,,,,,
618,0.015,,,,,,,
777,0.015,,,,,,,
1172,0.015,,,,,,,
29,0.015,,,,,,,
200,0.015,,,,,,,
1299,0.015,,,,,,,
1372,0.015,,,,,,,
1240,0.015,,,,,,,
785,0.015,,,,,,,
446,0.015,,,,,,,
1789,0.015,,,,,,,
555,0.015,,,,,,,
1284,0.015,,,,,,,
383,0.015,,,,,,,
1494,0.015,,,,,,,
1903,0.015,,,,,,,
645,0.014,,,,,,,
1841,0.014,,,,,,,
656,0.014,,,,,,,
118,0.014,,,,,,,
818,0.014,,,,,,,
1134,0.014,,,,,,,
1069,0.014,,,,,,,
1326,0.014,,,,,,,
761,0.014,,,,,,,
518,0.014,,,,,,,
1735,0.014,,,,,,,
321,0.014,,,,,,,
406,0.014,,,,,,,
830,0.014,,,,,,,
1296,0.014,,,,,,,
569,0.014,,,,,,,
1488,0.014,,,,,,,
1830,0.014,,,,,,,
86,0.014,,,,,,,
1159,0.014,,,,,,,
1739,0.014,,,,,,,
344,0.014,,,,,,,
115,0.014,,,,,,,
1084,0.014,,,,,,,
208,0.014,,,,,,,
1237,0.013,,,,,,,
1062,0.013,,,,,,,
333,0.013,,,,,,,
1545,0.013,,,,,,,
1680,0.013,,,,,,,
1850,0.013,,,,,,,
1796,0.013,,,,,,,
579,0.013,,,,,,,
590,0.013,,,,,,,
974,0.013,,,,,,,
1127,0.013,,,,,,,
1074,0.013,,,,,,,
767,0.013,,,,,,,
1445,0.013,,,,,,,
12,0.013,,,,,,,
456,0.013,,,,,,,
189,0.013,,,,,,,
100,0.013,,,,,,,
1469,0.013,,,,,,,
741,0.013,,,,,,,
146,0.013,,,,,,,
1889,0.013,,,,,,,
1479,0.013,,,,,,,
292,0.013,,,,,,,
1696,0.013,,,,,,,
950,0.013,,,,,,,
969,0.013,,,,,,,
54,0.013,,,,,,,
1914,0.013,,,,,,,
1371,0.013,,,,,,,
719,0.013,,,,,,,
1184,0.013,,,,,,,
607,0.013,,,,,,,
1063,0.013,,,,,,,
1089,0.013,,,,,,,
471,0.013,,,,,,,
1986,0.013,,,,,,,
1258,0.013,,,,,,,
856,0.012,,,,,,,
964,0.012,,,,,,,
563,0.012,,,,,,,
1323,0.012,,,,,,,
1615,0.012,,,,,,,
584,0.012,,,,,,,
648,0.012,,,,,,,
404,0.012,,,,,,,
1390,0.012,,,,,,,
1407,0.012,,,,,,,
861,0.012,,,,,,,
1079,0.012,,,,,,,
1711,0.012,,,,,,,
1223,0.012,,,,,,,
806,0.012,,,,,,,
46,0.012,,,,,,,
1718,0.012,,,,,,,
1310,0.012,,,,,,,
1843,0.012,,,,,,,
841,0.012,,,,,,,
491,0.012,,,,,,,
173,0.012,,,,,,,
385,0.012,,,,,,,
1383,0.012,,,,,,,
664,0.012,,,,,,,
1404,0.012,,,,,,,
477,0.012,,,,,,,
1035,0.012,,,,,,,
815,0.012,,,,,,,
154,0.012,,,,,,,
820,0.011,,,,,,,
182,0.011,,,,,,,
43,0.011,,,,,,,
227,0.011,,,,,,,
32,0.011,,,,,,,
723,0.011,,,,,,,
1298,0.011,,,,,,,
1382,0.011,,,,,,,
749,0.011,,,,,,,
109,0.011,,,,,,,
1154,0.011,,,,,,,
1991,0.011,,,,,,,
957,0.011,,,,,,,
1333,0.011,,,,,,,
50,0.011,,,,,,,
993,0.011,,,,,,,
674,0.011,,,,,,,
747,0.011,,,,,,,
230,0.011,,,,,,,
1809,0.011,,,,,,,
979,0.011,,,,,,,
437,0.011,,,,,,,
382,0.011,,,,,,,
1171,0.011,,,,,,,
114,0.011,,,,,,,
1215,0.011,,,,,,,
1505,0.01,,,,,,,
1653,0.01,,,,,,,
1318,0.01,,,,,,,
364,0.01,,,,,,,
1560,0.01,,,,,,,
1936,0.01,,,,,,,
131,0.01,,,,,,,
1500,0.01,,,,,,,
1944,0.01,,,,,,,
506,0.01,,,,,,,
939,0.01,,,,,,,
328,0.01,,,,,,,
1643,0.01,,,,,,,
17,0.01,,,,,,,
1949,0.01,,,,,,,
962,0.01,,,,,,,
